city,cost_one_person_usd,rent_one_person_usd,monthly_salary_after_tax_usd,income_after_rent_usd,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr,usd_to_inr_rate_used,source_url
Cost of Living in Ghaziabad,372.0,119.0,454.0,335.0,1.2,32685.33,10455.79,39890.17,29434.37,87.8638,https://livingcost.org/cost/india/up/ghaziabad
Cost of Living in Kanpur,320.0,99.6,432.0,332.4,1.3,28116.42,8751.23,37957.16,29205.93,87.8638,https://livingcost.org/cost/india/up/kanpur
Cost of Living in Lucknow,386.0,113.0,352.0,239.0,1.0,33915.43,9928.61,30928.06,20999.45,87.8638,https://livingcost.org/cost/india/up/lucknow
Cost of Living in Meerut,350.0,135.0,559.0,424.0,1.6,30752.33,11861.61,49115.86,37254.25,87.8638,https://livingcost.org/cost/india/up/meerut
Cost of Living in Varanasi,273.0,74.7,356.0,281.3,1.3,23986.82,6563.43,31279.51,24716.09,87.8638,https://livingcost.org/cost/india/up/varanasi
Cost of Living in Uttarakhand,386.0,158.0,225.0,67.0,0.6,33915.43,13882.48,19769.35,5886.87,87.8638,https://livingcost.org/cost/india/ut
India vs Uzbekistan - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/uzbekistan
India vs Vietnam - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/vietnam
Cost of Living in West Bengal,330.0,113.0,366.0,253.0,1.1,28995.05,9928.61,32158.15,22229.54,87.8638,https://livingcost.org/cost/india/wb
Cost of Living in Howrah,301.0,114.0,455.0,341.0,1.4,26447.0,10016.47,39978.03,29961.56,87.8638,https://livingcost.org/cost/india/wb/howrah
Cost of Living in Kolkata,301.0,121.0,354.0,233.0,1.0,26447.0,10631.52,31103.79,20472.27,87.8638,https://livingcost.org/cost/india/wb/kolkata
